player_id,year,round,pick,team
brittmi02,1983,2,32,WSB
brittto01,1982,10,212,CHI
brittwa01,1976,4,60,LAL
brkovmi01,1981,8,181,MIL
brocker01,1964,6,51,STL
brockjo01,2009,2,38,POR
brodyta01,1965,2,15,BAL
brogdma01,2016,2,36,MIL
brokaga01,1974,1,18,MIL
bromwpe01,1987,6,118,NJN
brookaa01,2007,1,26,HOU
brookal01,1981,10,219,SAS
brookba01,1981,10,213,GSW
brookcl01,1968,9,118,PHI
brookdi01,2017,2,45,HOU
brookdo01,1975,9,160,WSB
brookha01,1954,8,64,BLB
brookji01,1970,12,184,SDR
